no_of_dependents,graduated,self_employed,income_annum,loan_amount,loan_term,cibil_score,residential_assets_value,commercial_assets_value,luxury_assets_value,bank_asset_value,loan_approved
2,True,False,9600000,29900000,12,778,2400000,17600000,22700000,8000000,True
0,False,True,4100000,12200000,8,417,2700000,2200000,8800000,3300000,False
3,True,False,9100000,29700000,20,506,7100000,4500000,33300000,12800000,False
3,True,False,8200000,30700000,8,467,18200000,3300000,23300000,7900000,False
5,False,True,9800000,24200000,20,382,12400000,8200000,29400000,5000000,False
0,True,True,4800000,13500000,10,319,6800000,8300000,13700000,5100000,False
5,True,False,8700000,33000000,4,678,22500000,14800000,29200000,4300000,True
2,True,True,5700000,15000000,20,382,13200000,5700000,11800000,6000000,False
0,True,True,800000,2200000,20,782,1300000,800000,2800000,600000,True
5,False,False,1100000,4300000,10,388,3200000,1400000,3300000,1600000,False
4,True,True,2900000,11200000,2,547,8100000,4700000,9500000,3100000,True
2,False,True,6700000,22700000,18,538,15300000,5800000,20400000,6400000,False
3,False,True,5000000,11600000,16,311,6400000,9600000,14600000,4300000,False
2,True,True,9100000,31500000,14,679,10800000,16600000,20900000,5000000,True
1,False,False,1900000,7400000,6,469,1900000,1200000,5900000,1900000,False
5,False,False,4700000,10700000,10,794,5700000,3900000,16400000,4400000,True
2,True,True,500000,1600000,4,663,1300000,100000,1300000,700000,True
4,False,True,2900000,9400000,14,780,2900000,2800000,6700000,4300000,True
2,True,False,2700000,10300000,10,736,1000000,0,6200000,3300000,True
5,True,False,6300000,14600000,12,652,10300000,3500000,23500000,5900000,True
2,True,False,5000000,19400000,12,315,9500000,1600000,18000000,6100000,False
4,True,False,5800000,14000000,16,530,3800000,11300000,22200000,5400000,False
4,True,True,6500000,25700000,18,311,13100000,1700000,19500000,8500000,False
0,False,True,500000,1400000,2,551,900000,600000,1100000,300000,True
0,False,False,4900000,9800000,16,324,3800000,8700000,10000000,3300000,False
5,False,False,3100000,9500000,20,514,7900000,3100000,6600000,2600000,False
4,True,False,8200000,28100000,12,696,11500000,10600000,25300000,7200000,True
4,False,True,2400000,5600000,4,662,4500000,4200000,5400000,2500000,True
5,False,True,7000000,24000000,6,336,2300000,11900000,27500000,9700000,False
3,False,True,9000000,31500000,10,850,21800000,12400000,33700000,8000000,True
2,False,False,9800000,25300000,12,313,20200000,5200000,25500000,9300000,False
2,True,False,5700000,12000000,6,363,3600000,7400000,21700000,4300000,False
1,False,True,800000,1600000,10,436,700000,200000,2200000,1000000,False
5,False,True,8400000,22000000,2,830,3800000,3900000,19900000,5400000,True
3,True,False,4900000,11900000,8,612,9700000,1200000,19000000,5800000,True
2,True,True,1700000,3400000,8,691,2700000,2800000,6000000,900000,True
3,False,False,1600000,6200000,18,636,3400000,700000,5300000,1400000,True
5,True,True,8000000,27200000,6,348,6400000,300000,16700000,7100000,False
5,True,False,3600000,7700000,16,830,7000000,1300000,10000000,2900000,True
3,False,True,1500000,5100000,6,352,100000,200000,5600000,900000,False
1,True,False,7800000,18100000,2,712,8600000,11200000,21700000,9000000,True
2,False,False,9100000,24900000,16,822,22300000,12100000,31000000,5200000,True
3,True,False,1400000,3400000,6,540,200000,1500000,3900000,800000,False
2,True,True,800000,2300000,12,342,2200000,1300000,1800000,800000,False
5,True,False,6500000,13400000,18,787,18200000,300000,16200000,5400000,True
4,True,False,8000000,27800000,16,331,13000000,6300000,21400000,10900000,False
3,False,True,4200000,14600000,6,679,2400000,6900000,8700000,4900000,True
1,True,True,4900000,19100000,14,677,5400000,9100000,17700000,6500000,True
3,False,False,5500000,20500000,12,634,800000,8600000,18500000,8200000,True
1,False,True,9500000,19100000,16,662,100000,10500000,37700000,11700000,True
4,True,False,7300000,25400000,16,502,500000,1800000,20500000,10500000,False
2,True,False,8700000,24700000,10,435,6800000,3500000,21800000,11300000,False
5,False,False,3800000,7600000,4,689,8700000,100000,9300000,3400000,True
1,False,True,8400000,23000000,12,657,15400000,14800000,31900000,8200000,True
2,True,True,5100000,19700000,20,590,7400000,9300000,19400000,3400000,True
5,False,False,6700000,24500000,12,818,1200000,5600000,16300000,6200000,True
2,False,False,4300000,10600000,18,431,2100000,1500000,9300000,5200000,False
5,True,True,9300000,30500000,18,841,19300000,10300000,34600000,8700000,True
1,True,False,7400000,18400000,20,421,18500000,9100000,17500000,4100000,False
4,False,True,5500000,18200000,16,797,-100000,4900000,18600000,4800000,True
2,False,False,8500000,18900000,18,478,23800000,16300000,25900000,11400000,False
3,False,True,9600000,30500000,18,669,4700000,1900000,26500000,9300000,True
5,False,True,8800000,28900000,6,365,24400000,8600000,27400000,4700000,False
3,False,True,3300000,7500000,20,586,1600000,5600000,10500000,2900000,True
4,True,True,3900000,12300000,18,784,7600000,6900000,13100000,2800000,True
1,True,False,4100000,10300000,12,364,9500000,6100000,14900000,2800000,False
3,False,False,8300000,29100000,10,715,6100000,11900000,24100000,11900000,True
0,False,True,2700000,10100000,20,693,200000,1700000,5900000,1400000,False
4,True,False,5600000,12400000,4,777,5500000,3100000,11800000,5500000,True
0,True,False,1900000,5000000,12,312,4000000,2800000,4900000,2400000,False
4,False,True,500000,1500000,20,340,100000,200000,1900000,600000,False
5,True,True,5300000,18600000,4,386,2700000,9700000,11900000,4200000,True
5,False,False,7000000,18300000,4,418,18400000,11700000,21500000,7600000,False
3,False,True,5800000,16700000,16,735,3900000,9400000,12600000,5600000,True
2,False,False,2600000,8400000,6,494,6500000,3800000,5600000,2000000,False
2,False,False,1900000,6500000,18,671,600000,2500000,4800000,1100000,True
4,True,False,5700000,14800000,16,697,14300000,7800000,12900000,6300000,True
0,True,False,9000000,33500000,8,801,11600000,8900000,35400000,11100000,True
2,False,False,8500000,29400000,12,576,17600000,5600000,25200000,9000000,True
0,False,False,700000,1400000,14,639,1900000,700000,2400000,900000,True
4,True,False,3500000,8900000,4,470,1300000,2200000,12300000,2000000,False
0,False,False,8800000,31200000,4,826,2900000,500000,33300000,8600000,True
2,False,True,9900000,21200000,16,363,25500000,11400000,26600000,6800000,False
3,True,False,3600000,8600000,20,613,9400000,300000,10300000,3300000,True
3,False,True,3000000,8200000,16,713,5300000,5800000,11000000,3400000,True
